Stock,Total Quarterly Gross Profit Score,Total Annual Gross Profit Score,Total Quarterly Revenue Score,Total Annual Revenue Score,Total Quarterly EPS Score,Total Annual EPS Score,Total Score
IBEX,1,1,1,3,,,6
IBKR,3,2,2,2,1.0,2.0,12
IBOC,0,0,0,0,2.0,0.0,2
IBTX,1,1,1,1,1.0,2.0,7
ICAD,3,1,3,1,0.0,0.0,8
ICBK,2,1,2,1,0.0,0.0,6
ICCC,1,1,1,1,2.0,0.0,6
ICCH,2,1,2,1,2.0,1.0,9
ICFI,1,1,3,1,0.0,1.0,7
ICHR,0,2,3,2,0.0,2.0,9
ICLR,1,1,1,0,1.0,1.0,5
ICMB,2,2,2,2,1.0,0.0,9
ICON,3,0,3,0,1.0,0.0,7
ICPT,2,1,2,1,0.0,0.0,6
ICUI,1,0,1,2,1.0,1.0,6
IDEX,0,1,0,0,0.0,0.0,1
IDXG,1,2,1,2,0.0,0.0,6
IDXX,1,2,1,2,2.0,2.0,10
IEA,0,1,0,1,1.0,0.0,3
IEC,0,1,2,1,0.0,2.0,6
IEP,2,0,2,0,2.0,0.0,6
IESC,1,3,1,1,0.0,1.0,7
IFMK,2,0,1,0,2.0,0.0,5
IHRT,1,0,1,1,,,3
III,3,0,2,0,3.0,1.0,9
IIIN,1,2,1,2,0.0,2.0,8
IIN,0,0,1,0,2.0,0.0,3
IIVI,2,2,2,2,2.0,1.0,11
IKNX,1,0,3,0,2.0,0.0,6
ILMN,1,0,1,0,1.0,1.0,4
ILPT,0,1,0,1,2.0,2.0,6
IMAC,1,0,1,0,2.0,0.0,4
IMBI,2,2,2,0,1.0,0.0,7
IMGN,2,2,3,3,2.0,0.0,12
IMKTA,0,3,0,3,0.0,2.0,8
IMMR,1,0,3,0,1.0,2.0,7
IMOS,2,3,3,3,2.0,2.0,15
INBK,1,2,1,2,2.0,3.0,11
INCY,2,0,2,2,2.0,1.0,9
INDB,1,1,1,1,1.0,0.0,5
INDT,1,3,1,3,0.0,1.0,9
INFN,2,0,3,1,0.0,0.0,6
INGN,3,0,1,0,0.0,0.0,4
INMD,1,0,1,0,1.0,1.0,4
INO,0,0,2,2,1.0,0.0,5
INOD,3,2,3,2,2.0,0.0,12
INPX,1,1,1,1,2.0,0.0,6
INSE,1,3,1,3,3.0,0.0,11
INSG,0,2,0,3,0.0,0.0,5
INTC,2,2,2,2,2.0,0.0,10
INTU,2,2,2,2,0.0,2.0,10
INTZ,0,0,0,0,0.0,0.0,0
IONS,3,1,3,1,0.0,0.0,8
IOSP,1,0,3,0,1.0,0.0,5
IPAR,1,0,1,0,1.0,0.0,3
IPGP,0,0,0,0,2.0,0.0,2
IPHI,0,3,2,3,0.0,0.0,8
IRBT,0,2,1,2,0.0,2.0,7
IRCP,1,0,1,0,1.0,2.0,5
IRDM,1,0,1,0,0.0,0.0,2
IRIX,3,0,1,0,0.0,0.0,4
IRMD,1,0,1,0,1.0,0.0,3
IROQ,2,3,2,3,2.0,1.0,13
IRTC,1,0,1,0,0.0,0.0,2
IRWD,2,1,1,1,0.0,3.0,8
ISBC,3,3,3,3,1.0,2.0,15
ISIG,3,0,1,0,0.0,1.0,5
ISNS,0,0,1,1,3.0,2.0,7
ISRG,1,1,1,1,1.0,0.0,5
ISTR,2,0,2,0,0.0,0.0,4
ISUN,1,1,3,1,0.0,1.0,7
ITI,1,2,1,2,0.0,0.0,6
ITIC,2,1,2,3,1.0,2.0,11
ITMR,1,1,1,3,0.0,,6
ITRI,3,0,1,0,2.0,1.0,7
ITRN,2,0,1,1,2.0,2.0,8
IVAC,2,1,2,1,2.0,0.0,8
IZEA,3,0,3,0,2.0,0.0,8
JACK,1,0,1,1,2.0,2.0,7
JAGX,0,3,0,3,2.0,0.0,8
JAKK,1,1,1,1,1.0,0.0,5
JAN,1,2,1,0,0.0,0.0,4
JAZZ,2,0,3,0,0.0,1.0,6
JBHT,2,0,1,0,2.0,1.0,6
JBLU,0,1,1,0,0.0,1.0,3
JBSS,2,1,3,2,3.0,3.0,14
JCS,1,1,1,1,1.0,1.0,6
JCTCF,0,2,0,0,0.0,2.0,4
JD,2,1,2,2,1.0,2.0,10
JFU,1,0,0,0,,,1
JG,2,0,0,0,0.0,,2
JJSF,1,1,1,0,1.0,0.0,4
JKHY,1,2,1,2,1.0,2.0,9
JOBS,3,0,3,0,1.0,1.0,8
JOUT,1,2,1,2,3.0,1.0,10
JRJC,2,1,2,1,0.0,0.0,6
JRSH,0,0,1,1,1.0,2.0,5
JRVR,0,0,2,0,0.0,0.0,2
JVA,2,0,3,0,0.0,0.0,5
JYNT,1,0,1,0,1.0,1.0,4
KALU,2,1,2,0,1.0,0.0,6
KBNT,3,3,3,3,,,12
KC,1,3,1,0,,,5
KDMN,3,1,3,1,0.0,0.0,8
KDP,1,0,0,0,0.0,1.0,2
KE,1,0,1,0,1.0,1.0,4
KELYA,3,0,3,0,2.0,1.0,9
KELYB,3,0,3,0,2.0,1.0,9
KEQU,0,0,1,2,0.0,0.0,3
KERN,1,3,1,3,0.0,0.0,8
KFFB,3,0,3,0,1.0,0.0,7
KFRC,1,0,1,2,1.0,1.0,6
KHC,2,2,2,2,1.0,1.0,10
KIDS,1,1,1,0,0.0,0.0,3
KINS,2,2,2,1,2.0,2.0,11
