Date,Open,High,Low,Close,Adj Close,Volume,Zlema,PVT,MAMAFAMA,BuySellCount,BuySell
1980-12-12,0.1283,0.1289,0.1283,0.1283,0.1009,469033600,False,,,-1,0
1980-12-15,0.1222,0.1222,0.1217,0.1217,0.0957,175884800,False,,,-1,0
1980-12-16,0.1133,0.1133,0.1127,0.1127,0.0886,105728000,False,,,-1,0
1980-12-17,0.1155,0.1161,0.1155,0.1155,0.0908,86441600,False,,,-1,0
1980-12-18,0.1189,0.1194,0.1189,0.1189,0.0935,73449600,False,,,-1,0
1980-12-19,0.1261,0.1267,0.1261,0.1261,0.0992,48630400,False,True,,0,0
1980-12-22,0.1323,0.1328,0.1323,0.1323,0.104,37363200,False,,,-1,0
1980-12-23,0.1378,0.1384,0.1378,0.1378,0.1084,46950400,True,,,1,0
1980-12-24,0.1451,0.1456,0.1451,0.1451,0.1141,48003200,True,,,1,0
1980-12-26,0.1585,0.159,0.1585,0.1585,0.1246,55574400,True,,,1,0
1980-12-29,0.1607,0.1613,0.1607,0.1607,0.1264,93161600,True,,,1,0
1980-12-30,0.1574,0.1574,0.1568,0.1568,0.1233,68880000,True,,,1,0
1980-12-31,0.1529,0.1529,0.1523,0.1523,0.1198,35750400,True,,,1,0
1981-01-02,0.154,0.1551,0.154,0.154,0.1211,21660800,True,,,1,0
1981-01-05,0.1512,0.1512,0.1507,0.1507,0.1185,35728000,False,,,-1,0
1981-01-06,0.1445,0.1445,0.144,0.144,0.1132,45158400,False,,,-1,0
1981-01-07,0.1384,0.1384,0.1378,0.1378,0.1084,55686400,False,False,,-2,False
1981-01-08,0.1356,0.1356,0.135,0.135,0.1062,39827200,False,,,-1,0
1981-01-09,0.1423,0.1429,0.1423,0.1423,0.1119,21504000,False,True,,0,0
1981-01-12,0.1423,0.1423,0.1412,0.1412,0.111,23699200,False,,,-1,0
1981-01-13,0.1367,0.1367,0.1362,0.1362,0.1071,23049600,False,False,,-2,False
1981-01-14,0.1367,0.1373,0.1367,0.1367,0.1075,14291200,False,,,-1,0
1981-01-15,0.1395,0.1406,0.1395,0.1395,0.1097,14067200,True,,,1,0
1981-01-16,0.139,0.139,0.1384,0.1384,0.1088,13395200,True,,,1,0
1981-01-19,0.1468,0.1473,0.1468,0.1468,0.1154,41574400,True,True,,2,Buy
1981-01-20,0.1429,0.1429,0.1423,0.1423,0.1119,30083200,True,,,1,0
1981-01-21,0.1451,0.1462,0.1451,0.1451,0.1141,15904000,True,,,1,0
1981-01-22,0.1468,0.1479,0.1468,0.1468,0.1154,35548800,True,,,1,0
1981-01-23,0.1468,0.1473,0.1462,0.1462,0.115,11222400,True,,,1,0
1981-01-26,0.1445,0.1445,0.144,0.144,0.1132,24640000,True,,,1,0
1981-01-27,0.144,0.144,0.1429,0.1429,0.1123,23699200,False,,,-1,0
1981-01-28,0.139,0.139,0.1384,0.1384,0.1088,28156800,False,False,,-2,False
1981-01-29,0.1339,0.1339,0.1334,0.1334,0.1049,43904000,False,,,-1,0
1981-01-30,0.1272,0.1272,0.1261,0.1261,0.0992,46188800,False,,,-1,0
1981-02-02,0.1194,0.1194,0.1189,0.1189,0.0935,23766400,False,,,-1,0
1981-02-03,0.1233,0.1239,0.1233,0.1233,0.097,19152000,False,,,-1,0
1981-02-04,0.1278,0.1283,0.1278,0.1278,0.1005,27865600,False,,,-1,0
1981-02-05,0.1278,0.1289,0.1278,0.1278,0.1005,7929600,False,,,-1,0
1981-02-06,0.1283,0.1289,0.1283,0.1283,0.1009,13865600,False,,,-1,0
1981-02-09,0.1228,0.1228,0.1217,0.1217,0.0957,16755200,False,,,-1,0
1981-02-10,0.1217,0.1222,0.1217,0.1217,0.0957,18345600,True,,,1,0
1981-02-11,0.1183,0.1183,0.1177,0.1177,0.0926,13843200,False,,,-1,0
1981-02-12,0.1172,0.1172,0.1166,0.1166,0.0917,14560000,False,,,-1,0
1981-02-13,0.115,0.115,0.1138,0.1138,0.0895,11155200,False,,,-1,0
1981-02-17,0.1166,0.1172,0.1166,0.1166,0.0917,12275200,False,,,-1,0
1981-02-18,0.1217,0.1228,0.1217,0.1217,0.0957,19241600,True,,,1,0
1981-02-19,0.115,0.115,0.1144,0.1144,0.09,22310400,False,,,-1,0
1981-02-20,0.1088,0.1088,0.1083,0.1083,0.0851,24371200,False,,,-1,0
1981-02-23,0.1099,0.1105,0.1099,0.1099,0.0864,14112000,False,,,-1,0
1981-02-24,0.1071,0.1071,0.106,0.106,0.0834,16979200,False,,,-1,0
1981-02-25,0.1127,0.1133,0.1127,0.1127,0.0886,19488000,False,,,-1,0
1981-02-26,0.1144,0.115,0.1144,0.1144,0.09,10841600,False,,,-1,0
1981-02-27,0.1183,0.1194,0.1183,0.1183,0.093,14761600,True,,,1,0
1981-03-02,0.1189,0.1194,0.1189,0.1189,0.0935,11760000,True,,,1,0
1981-03-03,0.1177,0.1177,0.1172,0.1172,0.0921,16172800,True,,,1,0
1981-03-04,0.1166,0.1166,0.1161,0.1161,0.0913,13708800,True,,,1,0
1981-03-05,0.1161,0.1161,0.1155,0.1155,0.0908,5376000,True,,,1,0
1981-03-06,0.1155,0.1155,0.1144,0.1144,0.09,11603200,False,,,-1,0
1981-03-09,0.106,0.106,0.1055,0.1055,0.0829,15321600,False,,,-1,0
1981-03-10,0.101,0.101,0.1004,0.1004,0.079,28380800,False,,,-1,0
1981-03-11,0.0977,0.0977,0.0965,0.0965,0.0759,29859200,False,,,-1,0
1981-03-12,0.1004,0.101,0.1004,0.1004,0.079,59248000,False,,,-1,0
1981-03-13,0.0999,0.0999,0.0993,0.0993,0.0781,231302400,False,,,-1,0
1981-03-16,0.1032,0.1044,0.1032,0.1032,0.0812,37228800,False,,,-1,0
1981-03-17,0.1083,0.1094,0.1083,0.1083,0.0851,43747200,True,True,,2,Buy
1981-03-18,0.115,0.1161,0.115,0.115,0.0904,36937600,True,,,1,0
1981-03-19,0.1144,0.1144,0.1138,0.1138,0.0895,37811200,True,,,1,0
1981-03-20,0.115,0.1161,0.115,0.115,0.0904,14604800,True,,,1,0
1981-03-23,0.1194,0.1205,0.1194,0.1194,0.0939,22019200,True,,,1,0
1981-03-24,0.1194,0.1194,0.1189,0.1189,0.0935,28156800,True,,,1,0
1981-03-25,0.1177,0.1177,0.1166,0.1166,0.0917,7056000,True,,,1,0
1981-03-26,0.115,0.115,0.1144,0.1144,0.09,12275200,False,,,-1,0
1981-03-27,0.111,0.111,0.1105,0.1105,0.0869,12252800,False,,,-1,0
1981-03-30,0.1105,0.1116,0.1105,0.1105,0.0869,9900800,False,,,-1,0
1981-03-31,0.1105,0.1105,0.1094,0.1094,0.086,15993600,False,,,-1,0
1981-04-01,0.1088,0.1088,0.1083,0.1083,0.0851,34070400,False,,,-1,0
1981-04-02,0.1177,0.1183,0.1177,0.1177,0.0926,31404800,True,,,1,0
1981-04-03,0.1183,0.1189,0.1183,0.1183,0.093,16486400,True,,,1,0
1981-04-06,0.1166,0.1166,0.1161,0.1161,0.0913,22803200,True,,,1,0
1981-04-07,0.1155,0.1155,0.115,0.115,0.0904,10684800,True,,,1,0
1981-04-08,0.1205,0.1217,0.1205,0.1205,0.0948,21952000,True,,,1,0
1981-04-09,0.1228,0.1233,0.1228,0.1228,0.0965,12499200,True,,,1,0
1981-04-10,0.1244,0.125,0.1244,0.1244,0.0979,33465600,True,,,1,0
1981-04-13,0.1244,0.125,0.1244,0.1244,0.0979,16060800,True,,,1,0
1981-04-14,0.1244,0.125,0.1244,0.1244,0.0979,6652800,True,,,1,0
1981-04-15,0.1189,0.1189,0.1183,0.1183,0.093,34048000,False,,,-1,0
1981-04-16,0.1122,0.1122,0.1116,0.1116,0.0878,23878400,False,False,,-2,False
1981-04-20,0.115,0.1155,0.115,0.115,0.0904,35347200,False,True,,0,0
1981-04-21,0.1228,0.1233,0.1228,0.1228,0.0965,28537600,True,,,1,0
1981-04-22,0.1272,0.1278,0.1272,0.1272,0.1,18995200,True,,,1,0
1981-04-23,0.1306,0.1311,0.1306,0.1306,0.1027,58016000,True,,,1,0
1981-04-24,0.1306,0.1306,0.1295,0.1295,0.1018,35056000,True,,,1,0
1981-04-27,0.1289,0.1289,0.1283,0.1283,0.1009,38528000,True,,,1,0
1981-04-28,0.1267,0.1267,0.1261,0.1261,0.0992,32188800,True,,,1,0
1981-04-29,0.125,0.125,0.1244,0.1244,0.0979,13641600,False,,,-1,0
1981-04-30,0.1267,0.1278,0.1267,0.1267,0.0996,12611200,False,,,-1,0
1981-05-01,0.1267,0.1278,0.1267,0.1267,0.0996,16553600,False,,,-1,0
1981-05-04,0.1267,0.1267,0.1261,0.1261,0.0992,14448000,False,,,-1,0
1981-05-05,0.1261,0.1261,0.1256,0.1256,0.0987,17539200,False,,,-1,0
1981-05-06,0.1228,0.1228,0.1222,0.1222,0.0961,18950400,False,,,-1,0
1981-05-07,0.1239,0.1244,0.1239,0.1239,0.0974,9363200,False,,,-1,0
1981-05-08,0.125,0.1256,0.125,0.125,0.0983,7907200,False,,,-1,0
1981-05-11,0.1228,0.1228,0.1222,0.1222,0.0961,11939200,False,,,-1,0
1981-05-12,0.1222,0.1239,0.1222,0.1222,0.0961,4256000,False,,,-1,0
